Date,Open,Close,High,Low,Volume,Amount,Amplitude,Change,ChangeAmount,TurnoverRate,MA10,MA50,EMA12,EMA26,MACD,MACD_Signal,MACD_Hist,RSI,Momentum,ATR
2018-01-02,14.48,14.38,14.58,14.34,11033,15884805.0,1.67,0.14,0.02,2.17,,,14.38,14.38,0.0,0.0,0.0,,,
2018-01-03,14.49,14.45,14.49,14.3,14035,20215451.0,1.32,0.49,0.07,2.76,,,14.39076923076923,14.385185185185184,0.005584045584045683,0.0011168091168091367,0.004467236467236546,,,
2018-01-04,14.51,14.37,14.58,14.32,12433,17910647.0,1.8,-0.55,-0.08,2.45,,,14.38757396449704,14.384060356652949,0.003513607844091382,0.0015961688622655858,0.0019174389818257963,,,
2018-01-05,14.4,14.38,14.51,14.33,10691,15406936.0,1.25,0.07,0.01,2.1,,,14.386408739189804,14.383759589493472,0.0026491496963316763,0.0018067650290788041,0.0008423846672528722,,,
2018-01-08,14.45,14.59,14.6,14.1,17091,24565718.0,3.48,1.46,0.21,3.36,,,14.417730471622141,14.3990366569384,0.01869381468374165,0.005184174960011374,0.013509639723730276,,,
2018-01-09,14.56,14.43,14.57,14.38,10749,15560151.0,1.3,-1.1,-0.16,2.12,,,14.419618091372582,14.401330237905926,0.0182878534666564,0.007804910661340379,0.01048294280531602,,,
2018-01-10,14.43,14.01,14.48,13.82,13664,19308079.0,4.57,-2.91,-0.42,2.69,,,14.356599923469108,14.372342812875857,-0.015742889406748617,0.0030953506477225797,-0.018838240054471198,,,
2018-01-11,14.04,14.25,14.34,13.9,10958,15567139.0,3.14,1.71,0.24,2.16,,,14.340199935243092,14.36328038229246,-0.023080447049368402,-0.0021398088916956166,-0.020940638157672786,,,
2018-01-12,14.3,14.22,14.44,14.2,9456,13527599.0,1.68,-0.21,-0.03,1.86,,,14.321707637513384,14.352667020641167,-0.030959383127783013,-0.007903723738913095,-0.023055659388869918,,,
2018-01-15,14.1,13.8,14.19,13.67,13809,19160870.0,3.66,-2.95,-0.42,2.72,14.288,,14.241444924049786,14.311728722815896,-0.0702837987661109,-0.020379738744352657,-0.04990406002175825,,,
2018-01-16,13.8,14.2,14.34,13.8,13367,18863760.0,3.91,2.9,0.4,2.63,14.270000000000001,,14.23506878188828,14.30345252112583,-0.06838373923755015,-0.029980538842992156,-0.03840320039455799,,-0.01251738525730195,
2018-01-17,14.1,14.59,14.76,14.1,28311,41035781.0,4.65,2.75,0.39,5.57,14.283999999999997,,14.289673584674699,14.324678260301695,-0.03500467562699683,-0.030985366199793092,-0.004019309427203736,,0.009688581314879041,
2018-01-18,14.61,14.58,14.66,14.36,16495,23958240.0,2.06,-0.07,-0.01,3.25,14.305000000000001,,14.334339187032437,14.34359098176083,-0.009251794728392326,-0.02663865190551294,0.017386857177120615,,0.014613778705636848,
2018-01-19,14.65,14.43,14.87,14.38,19607,28692149.0,3.36,-1.03,-0.15,3.86,14.309999999999999,,14.349056235181294,14.349991649778547,-0.0009354145972526595,-0.021498004443860887,0.020562589846608227,50.965250965250945,0.00347705146036148,0.3899999999999998
2018-01-22,14.44,14.18,14.45,13.98,14885,21100884.0,3.26,-1.73,-0.25,2.93,14.269,,14.32304758361494,14.337399675720876,-0.01435209210593591,-0.02006882197627589,0.005716729870339981,46.4788732394366,-0.028101439342015144,0.40642857142857114
2018-01-23,14.14,14.21,14.34,14.03,10004,14219910.0,2.19,0.21,0.03,1.97,14.247,,14.30565564767418,14.327962662704515,-0.022307015030333943,-0.0205164605870875,-0.0017905544432464428,45.71428571428574,-0.01524601524601521,0.41499999999999976
2018-01-24,14.23,14.27,14.39,14.06,12589,17913155.0,2.32,0.42,0.06,2.48,14.273,,14.300170163416613,14.32366913213381,-0.023498968717197144,-0.02111296221310943,-0.0023860065040877156,48.20143884892087,0.01855817273376159,0.4199999999999998
2018-01-25,14.27,14.19,14.49,14.18,12930,18535689.0,2.17,-0.56,-0.08,2.54,14.267000000000001,,14.283220907506365,14.313767714938713,-0.030546807432347833,-0.02299973125695711,-0.0075470761753907226,46.66666666666664,-0.004210526315789553,0.42928571428571416
2018-01-26,14.11,13.89,14.2,13.87,13007,18254299.0,2.33,-2.11,-0.3,2.56,14.233999999999998,,14.222725383274616,14.282377513832142,-0.059652130557525496,-0.030330211117070786,-0.02932191944045471,38.095238095238095,-0.02320675105485237,0.417142857142857
2018-01-29,13.91,13.7,14.1,13.67,9125,12599237.0,3.1,-1.37,-0.19,1.8,14.224,,14.142306093540059,14.239238438733464,-0.09693234519340521,-0.04365063793233767,-0.05328170726106754,37.710437710437695,-0.007246376811594346,0.4328571428571428
2018-01-30,13.71,13.77,13.8,13.5,10004,13625529.0,2.19,0.51,0.07,1.97,14.180999999999997,,14.085028232995434,14.204480035864318,-0.11945180286888402,-0.05881087091964694,-0.06064093194923707,45.41984732824427,-0.03028169014084503,0.4071428571428571
2018-01-31,13.7,13.61,14.0,13.46,11427,15705077.0,3.92,-1.16,-0.16,2.25,14.082999999999998,,14.011946966380751,14.160444477652147,-0.14849751127139577,-0.07674819898999671,-0.07174931228139905,37.40157480314959,-0.06716929403701166,0.4142857142857142
2018-02-01,13.55,13.01,13.7,12.93,12426,16357443.0,5.66,-4.41,-0.6,2.45,13.925999999999998,,13.857801279245251,14.075226368196432,-0.21742508895118107,-0.10488357698223359,-0.11254151196894747,30.546623794212195,-0.10768175582990402,0.452142857142857
2018-02-02,13.0,12.55,13.0,12.4,11610,14617229.0,4.61,-3.54,-0.46,2.28,13.738,,13.65660108243829,13.962246637218918,-0.3056455547806287,-0.14503597254191264,-0.16060958223871608,30.15873015873015,-0.13028413028413022,0.45642857142857124
2018-02-05,12.31,12.22,12.53,12.19,7170,8856998.0,2.71,-2.63,-0.33,1.41,13.541999999999998,,13.435585531293938,13.833191330758257,-0.3976057994643192,-0.19554993792639397,-0.2020558615379252,17.857142857142875,-0.1382228490832157,0.4435714285714285
2018-02-06,12.0,11.21,12.01,11.15,15083,17440300.0,7.04,-8.27,-1.01,2.97,13.241999999999999,,13.093187757248717,13.638880861813202,-0.545693104564485,-0.2655785712540122,-0.28011453331047287,4.324324324324323,-0.21111893033075302,0.4728571428571428
2018-02-07,11.3,11.37,11.81,11.06,9428,10723539.0,6.69,1.43,0.16,1.86,12.951999999999998,,12.828081948441222,13.470815612790002,-0.6427336643487802,-0.3410095898729658,-0.3017240744758144,8.311688311688272,-0.20322354590049052,0.5049999999999999
